Player,First Season,Most Recent Season,Height,Birthplace,All Star Selections,HallofFame,League Status,G,GS,MP,TRB,AST,STL,BLK,PTS,FG%,eFG%,FT%,TS%,3P%
Channing Frye,2006,2019,7-0,White Plains,0,No,Active,886,444,19742,3998,863,457,540,7768,0.44,0.519,0.822,0.546,0.387
Pau Gasol,2002,2019,7-0,Barcelona,6,No,Active,1226,1150,41001,11305,3925,606,1941,20894,0.507,0.513,0.753,0.565,0.368
Matt Geiger,1993,2002,7-0,Salem,0,No,Inactive,552,214,12221,3158,388,306,347,5059,0.499,0.501,0.728,0.542,0.232
Ben Gillery,1989,1989,7-0,Detroit,0,No,Inactive,24,0,84,23,2,2,4,25,0.316,0.316,0.565,0.429,
Jim Grandholm,1991,1991,7-0,Elkhart,0,No,Inactive,26,0,168,50,8,2,8,79,0.517,0.595,0.476,0.587,0.529
Paul Grant,1999,2004,7-0,Pittsburgh,0,No,Inactive,16,0,111,18,3,2,1,29,0.448,0.448,0.375,0.446,
Aaron Gray,2008,2014,7-0,Tarzana,0,No,Inactive,318,87,3851,1190,207,94,87,1066,0.509,0.509,0.562,0.528,0
Stuart Gray,1985,1991,7-0,Panama Canal Zone,0,No,Inactive,386,5,3457,1020,148,64,133,906,0.446,0.446,0.663,0.497,0
Steve Hamer,1997,1997,7-0,Memphis,0,No,Inactive,35,3,268,60,7,2,4,76,0.526,0.526,0.552,0.545,0
Justin Hamilton,2014,2017,7-0,Newport Beach,0,No,Inactive,113,21,1961,403,91,61,73,687,0.464,0.523,0.798,0.552,0.309
Geert Hammink,1994,1996,7-0,Didam,0,No,Inactive,8,0,27,7,2,0,0,14,0.4,0.4,0.667,0.501,
A. J. Hammons,2017,2017,7-0,"Mouth of Wilson, Virginia",0,No,Inactive,22,0,163,36,4,1,13,48,0.405,0.464,0.45,0.472,0.5
Reggie Harding,1964,1968,7-0,Detroit,0,No,Inactive,205,,5529,1865,343,,,1839,0.413,0.413,0.607,0.439,
David Harrison,2005,2008,7-0,Nashville,0,No,Inactive,189,33,2686,549,47,64,185,949,0.53,0.53,0.525,0.543,
Isaiah Hartenstein,2019,2019,7-0,Eugene,0,No,Active,27,0,220,47,14,7,12,53,0.488,0.512,0.786,0.562,0.333
Steve Hayes,1982,1986,7-0,American Falls,0,No,Inactive,212,3,2296,526,85,32,102,545,0.482,0.482,0.5,0.493,0
Brendan Haywood,2002,2015,7-0,New York City,0,No,Inactive,816,549,18680,4875,442,320,1109,5538,0.528,0.528,0.587,0.555,0
Steven Hill,2009,2009,7-0,Chanute,0,No,Inactive,1,0,2,3,0,0,0,2,1,1,,1,
Donald Hodge,1992,1996,7-0,"Washington, D.C.",0,No,Inactive,249,35,3501,809,191,84,95,1182,0.437,0.439,0.711,0.487,0.286
Ryan Hollins,2007,2016,7-0,Pasadena,0,No,Inactive,518,76,6134,1140,151,94,271,1913,0.584,0.584,0.649,0.62,0
Steven Hunter,2002,2010,7-0,Chicago,0,No,Inactive,400,130,5993,1264,79,49,422,1817,0.56,0.56,0.485,0.558,0
D. J. Mbenga,2005,2011,7-0,Kinshasa,0,No,Inactive,234,4,1566,351,41,37,141,414,0.47,0.47,0.607,0.49,0
Jerome James,1999,2009,7-0,Tampa,0,No,Inactive,358,180,4771,1099,118,92,384,1540,0.485,0.485,0.617,0.51,0
Les Jepsen,1991,1992,7-0,Bowbells,0,No,Inactive,52,0,192,67,2,2,8,53,0.333,0.333,0.65,0.385,0
Yi Jianlian,2008,2012,7-0,Heshan,0,No,Inactive,272,163,6038,1339,192,136,184,2148,0.404,0.423,0.78,0.474,0.333
Dakari Johnson,2018,2018,7-0,Brooklyn,0,No,Inactive,31,6,161,34,8,6,8,55,0.564,0.564,0.55,0.575,
Nikola Jokić,2016,2019,7-0,Sombor,1,No,Active,293,252,8256,2777,1499,322,208,4725,0.523,0.56,0.833,0.606,0.353
