Player,First Season,Most Recent Season,Height,Birthplace,All Star Selections,HallofFame,League Status,G,GS,MP,TRB,AST,STL,BLK,PTS,FG%,eFG%,FT%,TS%,3P%
Hasheem Thabeet,2010,2014,7-3,Dar es Salaam,0,No,Inactive,224,20,2357,595,27,59,184,483,0.567,0.567,0.578,0.587,
Kareem Abdul-Jabbar,1970,1989,7-2,New York City,19,Yes,Inactive,1560,625,57446,17440,5660,1160,3189,38387,0.559,0.559,0.721,0.592,0.056
Alexis Ajinça,2009,2017,7-2,Saint-Étienne,0,No,Inactive,293,76,3905,1150,143,102,181,1553,0.503,0.507,0.797,0.546,0.286
Martynas Andriuškevičius,2006,2006,7-2,Kaunas,0,No,Inactive,6,0,9,4,0,2,0,0,0,0,,0,
Primož Brezec,2002,2010,7-2,Postojna,0,No,Inactive,342,214,6192,1327,179,69,134,2452,0.498,0.498,0.701,0.533,0.167
Tommy Burleson,1975,1981,7-2,Crossnore,0,No,Inactive,446,,9425,2794,601,312,591,4190,0.445,0.445,0.726,0.503,0
James Donaldson,1981,1995,7-2,Heacham,1,No,Inactive,957,659,26222,7492,765,336,1267,8203,0.571,0.571,0.732,0.618,
Ralph Drollinger,1981,1981,7-2,La Mesa,0,No,Inactive,6,,67,19,14,1,2,15,0.5,0.5,0.25,0.476,
Artis Gilmore,1977,1988,7-2,Chipley,11,Yes,Inactive,909,476,29685,9161,1777,470,1747,15579,0.599,0.599,0.713,0.643,0.077
Pétur Guðmundsson,1982,1989,7-2,Reykjavík,0,No,Inactive,150,20,2060,563,153,35,96,693,0.494,0.495,0.754,0.56,0.5
Hamed Haddadi,2009,2013,7-2,Ahvaz,0,No,Inactive,151,0,1056,372,43,11,92,339,0.463,0.463,0.632,0.504,0
Thomas Hamilton,1996,2000,7-2,Chicago,0,No,Inactive,33,7,343,112,16,4,23,107,0.4,0.4,0.463,0.418,
Roy Hibbert,2009,2017,7-2,Queens,2,No,Inactive,662,586,16389,4173,885,241,1146,6611,0.465,0.465,0.755,0.514,0.25
Garth Joseph,2001,2001,7-2,Roseau,0,No,Inactive,4,0,16,2,1,0,1,2,0.2,0.2,0,0.17,
Rich King,1992,1995,7-2,Lincoln,0,No,Inactive,72,2,309,74,21,5,7,135,0.393,0.393,0.662,0.471,0
Luc Longley,1992,2001,7-2,Melbourne,0,No,Inactive,567,362,12006,2794,836,278,549,4090,0.462,0.462,0.76,0.503,0
Salah Mejri,2016,2019,7-2,Jendouba,0,No,Active,193,22,2248,741,76,68,174,606,0.615,0.619,0.597,0.629,0.2
Dikembe Mutombo,1992,2009,7-2,Kinshasa,8,Yes,Inactive,1196,997,36791,12359,1240,494,3289,11729,0.518,0.518,0.684,0.573,0
Martin Nessley,1988,1988,7-2,Columbus,0,No,Inactive,44,0,336,82,16,8,12,48,0.385,0.385,0.444,0.401,
Alan Ogg,1991,1993,7-2,Lancaster,0,No,Inactive,80,1,657,133,13,12,58,175,0.493,0.493,0.568,0.511,0
Greg Ostertag,1996,2006,7-2,Dallas,0,No,Inactive,756,321,14753,4145,443,189,1293,3512,0.486,0.486,0.569,0.516,0.1
Tom Payne,1972,1972,7-2,California,0,No,Inactive,29,,227,69,15,,,119,0.437,0.437,0.63,0.483,
Kosta Perović,2008,2008,7-2,Osijek,0,No,Inactive,7,0,38,13,1,0,2,10,0.3,0.3,0.667,0.396,
Bruno Šundov,1999,2005,7-2,Split,0,No,Inactive,102,4,524,107,18,15,14,173,0.356,0.367,0.526,0.375,0.208
Cezary Trybański,2003,2004,7-2,Warsaw,0,No,Inactive,22,0,101,15,1,1,7,15,0.208,0.208,0.417,0.256,
Jake Tsakalidis,2001,2007,7-2,Rustavi,0,No,Inactive,315,168,5005,1238,101,73,223,1497,0.49,0.49,0.657,0.531,0
Stojko Vranković,1991,1999,7-2,Drniš,0,No,Inactive,170,73,2050,516,59,22,179,473,0.477,0.477,0.598,0.502,
Luther Wright,1994,1994,7-2,Jersey City,0,No,Inactive,15,2,92,10,0,1,2,19,0.348,0.348,0.75,0.384,0
Solomon Alabi,2011,2012,7-1,Kaduna,0,No,Inactive,26,0,181,61,5,4,11,39,0.314,0.314,0.7,0.352,
Deandre Ayton,2019,2019,7-1,Nassau,0,No,Active,63,62,1953,649,118,54,56,1030,0.583,0.583,0.757,0.608,0
Dalibor Bagarić,2001,2003,7-1,Munich,0,No,Inactive,95,0,973,238,37,29,43,251,0.361,0.361,0.559,0.4,0
Dragan Bender,2017,2019,7-1,Čapljina,0,No,Active,158,51,3079,563,180,39,81,795,0.383,0.489,0.674,0.503,0.329
Uwe Blab,1986,1990,7-1,Munich,0,No,Inactive,235,34,1966,413,102,19,85,505,0.433,0.433,0.608,0.481,
Sam Bowie,1985,1995,7-1,Lebanon,0,No,Inactive,511,349,14098,3845,1075,263,909,5564,0.452,0.456,0.748,0.51,0.302
Bill Cartwright,1980,1995,7-1,Lodi,1,No,Inactive,963,676,27491,6106,1390,460,668,12713,0.525,0.525,0.771,0.588,0
Ron Cavenall,1985,1989,7-1,Beaumont,0,No,Inactive,58,2,669,168,19,12,44,84,0.337,0.337,0.545,0.388,
Wilt Chamberlain,1960,1973,7-1,Philadelphia,13,Yes,Inactive,1045,,47859,23924,4643,,,31419,0.54,0.54,0.511,0.547,
Tyson Chandler,2002,2019,7-1,Hanford,1,No,Active,1132,881,31369,10391,961,624,1326,9469,0.596,0.596,0.645,0.625,0
Rastko Cvetković,1996,1996,7-1,Belgrade,0,No,Inactive,14,0,48,11,3,2,1,10,0.313,0.313,0,0.282,0
Vlade Divac,1990,2005,7-1,Prijepolje,1,No,Inactive,1134,979,33838,9326,3541,1288,1631,13398,0.495,0.5,0.692,0.543,0.235
Greg Dreiling,1987,1997,7-1,Wichita,0,No,Inactive,474,94,4241,1018,186,82,137,1014,0.467,0.469,0.649,0.517,0.333
Rolando Ferreira,1989,1989,7-1,Curitiba,0,No,Inactive,12,0,34,13,1,0,1,9,0.056,0.056,0.875,0.209,
Kyrylo Fesenko,2008,2012,7-1,Dnipro,0,No,Inactive,135,7,1107,269,40,19,53,305,0.496,0.496,0.41,0.49,0
Greg Fillmore,1971,1972,7-1,Philadelphia,0,No,Inactive,49,,338,108,20,,,118,0.403,0.403,0.467,0.415,
Marc Gasol,2009,2019,7-1,Barcelona,3,No,Active,781,767,26191,6016,2682,719,1146,11791,0.483,0.5,0.777,0.556,0.343
Andreas Glyniadakis,2007,2007,7-1,Chania,0,No,Inactive,13,4,81,8,1,0,0,17,0.471,0.471,0.5,0.475,
Rudy Gobert,2014,2019,7-1,Saint-Quentin,0,No,Active,392,300,11213,4097,522,266,860,4271,0.622,0.622,0.632,0.646,0
Spencer Hawes,2008,2017,7-1,Seattle,0,No,Inactive,684,368,15541,3893,1271,264,652,5932,0.457,0.49,0.716,0.514,0.35
Tito Horford,1989,1994,7-1,"La Romana, La Romana",0,No,Inactive,63,0,376,84,5,7,26,93,0.3,0.3,0.628,0.361,
Nate Huffman,2003,2003,7-1,Battle Creek,0,No,Inactive,7,0,76,23,5,1,3,23,0.36,0.36,0.625,0.403,
Mile Ilić,2007,2007,7-1,Tuzla,0,No,Inactive,5,0,6,1,0,0,0,0,0,0,,0,
Mario Kasun,2005,2006,7-1,Split,0,No,Inactive,73,0,569,188,11,10,16,198,0.467,0.467,0.636,0.505,0
Luke Kornet,2018,2019,7-1,Lantana,0,No,Inactive,54,14,863,148,64,28,38,359,0.38,0.503,0.8,0.527,0.369
Ognjen Kuzmić,2014,2015,7-1,Doboj,0,No,Inactive,37,0,164,38,8,5,5,35,0.52,0.52,0.6,0.554,
Alex Len,2014,2019,7-1,Antratsyt,0,No,Active,400,165,7931,2538,326,164,403,3097,0.486,0.497,0.699,0.543,0.327
Gary Leonard,1990,1992,7-1,Belleville,0,No,Inactive,31,0,149,34,2,4,10,44,0.459,0.459,0.5,0.48,0
Meyers Leonard,2013,2019,7-1,Robinson,0,No,Active,387,41,5998,1443,328,69,112,2144,0.477,0.555,0.823,0.581,0.387
Thon Maker,2017,2019,7-1,"Wau, South Sudan",0,No,Active,180,46,2439,479,102,63,112,813,0.424,0.491,0.648,0.519,0.328
Jim McIlvaine,1995,2001,7-1,Racine,0,No,Inactive,401,214,5927,1243,105,136,691,1072,0.446,0.447,0.551,0.475,0.1
Timofey Mozgov,2011,2018,7-1,Saint Petersburg,0,No,Active,454,273,8181,2225,250,139,383,3072,0.535,0.537,0.738,0.578,0.19
Shaquille O'Neal,1993,2011,7-1,Newark,15,Yes,Inactive,1207,1197,41918,13099,3026,739,2732,28596,0.582,0.582,0.527,0.586,0.045
Walter Palmer,1991,1993,7-1,Ithaca,0,No,Inactive,48,0,209,65,11,4,9,100,0.412,0.412,0.667,0.444,0
Georgios Papagiannis,2017,2018,7-1,Marousi,0,No,Inactive,39,0,477,123,29,7,23,160,0.514,0.514,0.857,0.533,0
Tom Piotrowski,1984,1984,7-1,West Chester,0,No,Inactive,18,0,78,16,5,1,3,30,0.462,0.462,1,0.524,
Joel Przybilla,2001,2013,7-1,Monticello,0,No,Inactive,592,397,11733,3665,256,157,836,2293,0.552,0.552,0.557,0.568,0
Zhou Qi,2018,2019,7-1,Henan,0,No,Active,19,0,125,22,2,2,14,24,0.212,0.242,0.667,0.313,0.105
David Robinson,1990,2003,7-1,Key West,10,Yes,Inactive,987,985,34271,10497,2441,1388,2954,20790,0.518,0.519,0.736,0.583,0.25
Mitchell Robinson,2019,2019,7-1,Pensacola,0,No,Active,52,12,985,283,28,39,126,353,0.7,0.7,0.585,0.694,
Tree Rollins,1978,1995,7-1,Winter Haven,0,No,Inactive,1156,463,24028,6750,660,512,2542,6249,0.522,0.522,0.7,0.555,0
Cheikh Samb,2008,2009,7-1,Dakar,0,No,Inactive,22,0,114,31,1,4,12,22,0.25,0.25,0.444,0.275,0
Daniel Santiago,2001,2005,7-1,Lubbock,0,No,Inactive,122,30,1418,260,38,39,47,417,0.469,0.469,0.685,0.525,
Luke Schenscher,2006,2007,7-1,Hope Forest,0,No,Inactive,31,0,267,54,8,3,7,55,0.469,0.469,0.45,0.476,
Dwayne Schintzius,1991,1999,7-1,Brandon,0,No,Inactive,217,33,1950,536,93,30,117,587,0.404,0.405,0.638,0.429,0.125
Ralph Siewert,1947,1947,7-1,Bloomfield Hills,0,No,Inactive,21,,,,4,,,20,0.136,0.136,0.533,0.198,
Nick Vanos,1986,1987,7-1,San Mateo,0,No,Inactive,68,14,842,240,59,21,28,222,0.383,0.383,0.561,0.417,0
Ratko Varda,2002,2002,7-1,Gradiška,0,No,Inactive,1,0,6,1,0,0,0,5,0.667,0.667,1,0.727,
Marvin Webster,1977,1987,7-1,Baltimore,0,No,Inactive,579,37,12966,4044,722,219,829,4137,0.489,0.489,0.617,0.527,0.333
Matt Wenstrom,1994,1994,7-1,Minneapolis,0,No,Inactive,11,0,37,12,0,0,2,18,0.6,0.6,0.6,0.625,
Loren Woods,2002,2008,7-1,St. Louis,0,No,Inactive,215,47,2428,682,74,55,128,555,0.419,0.42,0.642,0.47,0.143
Jim Zoet,1983,1983,7-1,Uxbridge,0,No,Inactive,7,0,30,8,1,1,3,2,0.2,0.2,,0.2,
Ivica Zubac,2017,2019,7-1,Mostar,0,No,Active,127,36,1799,546,103,30,86,848,0.532,0.532,0.752,0.571,0
